song_name;artist;cover_image;duration;genre;tempo;activity;mood;release_year
BILLY;6ix9ine;https://i.scdn.co/image/c9884a9b77c517dafd0ac6f462914e15e9081ddf;112667;4;2;2;3;2018
BURN IT DOWN;Linkin Park;https://i.scdn.co/image/967661595be2ffdd741e8e7c72cbd975dfc263b5;230253;8;2;4;6;2012
Baby Can I Hold You;Tracy Chapman;https://i.scdn.co/image/5c69dfb7c6bd99518facb068fec7b92df2df10c8;193120;10;3;3;3;1988
Baby Don't Go;Fabolous;https://i.scdn.co/image/2690e322dda50db74e392232f0c26d95aad18777;216653;2;2;2;2;1972
Baby Grand (with Ray Charles);Ray Charles;https://i.scdn.co/image/64bccd333a3cd82d07ad77ebd4981f0aae7e8aed;243987;11;3;3;3;1986
Baby, Baby;Amy Grant;https://i.scdn.co/image/c5ccf1f0473da3eeb2032a74c854b93e254be412;236973;1;2;2;1;1991
Back To Sleep;Chris Brown;https://i.scdn.co/image/4347211cde10c575e5b194a42da93377959e5c0c;201253;2;2;2;2;2015
Back When I Knew It All;Montgomery Gentry;https://i.scdn.co/image/2dedd237228465f7d35501cb969a5bc490ef2d59;237480;3;2;3;3;2008
Back on the Chain Gang;Pretenders;https://i.scdn.co/image/17df8a01dd260e782edfebf9aa0f9adaa9833eb5;232360;1;1;1;1;1987
Backyard Boogie;Mack 10;https://i.scdn.co/image/efc80dd52a8515de54b7877c70099067333d10e8;259181;4;2;2;3;1997
Bad At Love;Halsey;https://i.scdn.co/image/c8af4aa7e5b7a022d9cb49471eb0b9e367ca23a8;181279;2;2;2;2;2017
Bad Time;Grand Funk Railroad;https://i.scdn.co/image/b98fe588f040c92e7a089dd287d14c40a48df42c;176280;1;2;2;1;2006
Barely Breathing;Duncan Sheik;https://i.scdn.co/image/71800b2d533a0aa4279d8a37406fd4c2bae7a78a;254547;5;1;1;5;1996
Bartender Song (Sittin' At A Bar) - Alt/Rock Mix;Rehab;https://i.scdn.co/image/78448e9b9e65408c131b9d8cd969d41429388b8a;229040;4;3;3;3;2005
Bass Down Low;DEV;https://i.scdn.co/image/df7eb992ba4f72b6c8315d46dc575aca236a7d99;210213;2;2;2;2;2012
Bat Country;Avenged Sevenfold;https://i.scdn.co/image/88e04419e6cad4f11d2d25c08d9c5d1e87aa1371;311813;8;2;4;6;2005
Be Like That;3 Doors Down;https://i.scdn.co/image/ea1bb526f0b9d2a3375427c70af845485f2c55c7;265907;8;2;4;6;2000
Be Yourself;Audioslave;https://i.scdn.co/image/2135233efc1cd17247432dc7da4fba8d72844a7e;278973;8;2;4;6;2005
Be on You (feat. Ne-Yo);Ne-Yo;https://i.scdn.co/image/53123fc5c4318a3514bd52449350bdeb505f396e;243227;2;3;3;3;2009
Because the Night;Patti Smith;https://i.scdn.co/image/1bb45092e9a29e50642713eee3ad2eebc1a35e0b;205387;1;2;2;1;1978
Bed;J. Holiday;https://i.scdn.co/image/15f4c55bd13854e8507ff3d31146b2ee789062f3;275107;2;2;2;2;2007
Believe;Cher;https://i.scdn.co/image/712d909d4bf53ec50473a97e148be45351feac87;239027;2;1;1;4;1995
Believe Half Of What You See (And None Of What You Hear);Leon Haywood;https://i.scdn.co/image/7dd2e179c4314996888f85d8738e6bd561133c76;162280;5;1;1;5;1974
Best Thing I Never Had;Beyoncé;https://i.scdn.co/image/03f017a0243f8700181a566c8201a0ee992a9e91;253747;2;2;2;2;2011
